PROVIDER_ID;PROVIDER_ID;The identifier of the provider;The identifier of the provider;
SUBMISSION_ID;SUBMISSION_ID;Submission ID;The identifier of a submission;
ID_OBSERVATION;ID_OBSERVATION;Identifiant de l'observation;Identifiant de l'observation;
ID_HARMONIZED_OBSERVATION;ID_HARMONIZED_OBSERVATION;Identifiant de l'observation harmonisée;Identifiant de l'observation harmonisée;
STATUT_SOURCE;STATUT_SOURCE;Statut de la source;Indique si laDS de l’observation provient directement du terrain (via un document informatisé ou une base de données), d'une collection ou de la littérature;
REFERENCE_BIBLIO;REFERENCE_BIBLIO;Référence bibliographique;Référence de la source de l’observation lorsque celle-ci est de type « Littérature », de préférence au format ISO690. La référence bibliographique doit concerner l'observation même et non uniquement le taxon ou le protocole.;
JDDID;JDDID;Identifiant;Un identifiant pour la collection ou le jeu de données terrain d'où provient l'enregistrement. ;
JDDCODE;JDDCODE;Code identifiant la provenance;Le nom, l'acronyme, le code ou l'initiale identifiant la collection ou le jeu de données dont l'enregistrement de la Donnée Sourceprovient. ;
IDENTIFIANT_ORIGINE;IDENTIFIANT_ORIGINE;Identifiant de la donnée source;Identifiant unique de la Donnée Sourcede l’observation dans la base de données, elle-même caractérisée par jddId et/ou jddCode, où est stockéeet initialement gérée la Donnée Source. L'identifiant ne doit pas être la ;
IDENTIFIANT_PERMANENT;IDENTIFIANT_PERMANENT;Identifiant permanent;Identifiant unique et pérenne de la Donnée Elémentaire d’Echange de l'observation dans le SINP attribué par la plateforme régionale ou thématique.;
DS_PUBLIC;DS_PUBLIC;DS de la DEE publique ou privée;Indique explicitement si la DS de la DEE est publique ou privée. Ce ;
CODE_IDCNP_DISPOSITIF;CODE_IDCNP_DISPOSITIF;Code du dispositif de collecte;Code du dispositif de collecte dans le cadre duquel la donnée a été collectée.;
STATUT_OBSERVATION;STATUT_OBSERVATION;Statut de l'observation;Indique si le taxon a été observé directement ou indirectement (indices de présence), ou non observé ;
NOM_CITE;NOM_CITE;Nom du taxon cité par l’observateur;Nom du taxon cité à l’origine par l’observateur. Celui-ci peut être le nom scientifique reprenant idéalement en plus du nom latin, l’auteur et la date. ;
CD_NOM;ID_TAXON;Code du taxon « cd_nom » de TaxRef;Code du taxon « cd_nom » de TaxRef référençant au niveau national le taxon. Le niveau ou rang taxinomique de la DEE doit être celui de la DS. ;
CD_REF;ID_TAXON;Code du taxon « cd_ref » de TaxRef;Code du taxon « cd_ref » de TaxRef référençant au niveau national le taxon. Le niveau ou rang taxinomique de la DEE doit être celui de la DS. ;
SENSIBLE;SENSIBLE;Observation sensible;Indique si l'observation est sensible d'après les principes du SINP ;
DENOMBREMENT_MIN;DENOMBREMENT_MIN;Nombre minimum d'individus;Nombre minimum d'individus du taxon composant l'observation ;
DENOMBREMENT_MAX;DENOMBREMENT_MAX;Nombre maximum d'individus ;Nombre maximum d'individus du taxon composant l'observation ;
OBJET_DENOMBREMENT;OBJET_DENOMBREMENT;Objet du dénombrement;Indique l’objet du dénombrement : individu, couple… La nomenclature est à définir par extension thématique. ;
TYPE_DENOMBREMENT;TYPE_DENOMBREMENT;Méthode de dénombrement (Inspire) ;Méthode utilisée pour le dénombrement (Inspire) ;
DATE_DEBUT;DATE_DEBUT;Date du jour de début d'observation;Date du jour de l’observation dans le système grégorien. En cas d’imprécision, cet attribut représente la date la plus ancienne de la période d’imprécision. ;
DATE_FIN;DATE_FIN;Date du jour de fin d'observation;Date du jour de l’observation dans le système grégorien. En cas d’imprécision sur la date, cet attribut représente la date la plus récente de la période d’imprécision. ;
DATE_DETERMINATION;DATE_DETERMINATION;Date de la dernière détermination ;Date de la dernière détermination du taxon de l’observation dans le système grégorien ;
ALTITUDE_MIN;ALTITUDE_MIN;Altitude minimum de l’observation;Altitude minimale de l’observation en mètres. Si une seule mesure d’altitude moyenne est mesurée : inscrire la valeur dans les deux champs. ;
ALTITUDE_MAX;ALTITUDE_MAX;Altitude maximum de l’observation;Altitude maximale de l’observation en mètres. Si une seule mesure d’altitude moyenne est mesurée : inscrire la valeur dans les deux champs.;
PROFONDEUR_MIN;PROFONDEUR_MIN;Profondeur minimum de l’observation ;Profondeur minimale de l’observation en mètres selon le référentiel des profondeurs indiqué dans les métadonnées.;
PROFONDEUR_MAX;PROFONDEUR_MAX;Profondeur maximum de l’observation ;Profondeur maximale de l’observation en mètres selon le référentiel des profondeurs indiqué dans les métadonnées.;
CODE_HABITAT;CODE_HABITAT;Code de l'habitat ;Code de l'habitat où le taxon de l'observation a été identifié.;
REF_HABITAT;REF_HABITAT;Référentiel identifiant l'habitat;RefHabitat correspondant au référentiel utilisé pour identifier l'habitat de l'observation. Il est codé selon les acronymes utilisés sur le site de l'INPN http://inpn.mnhn.fr/telechargement/referentiels/habitats.;
COMMENTAIRE;COMMENTAIRE;Commentaire;Champ libre pour informations complémentaires indicatives;
CODE_COMMUNE;CODE_COMMUNE;Code INSEE de la commune;Code de la/les commune(s) où a été effectuée l’observation suivant le référentiel INSEE en vigueur. ;
NOM_COMMUNE;NOM_COMMUNE;Nom de la commune;Libellé de la/les commune(s) où a été effectuée l’observation suivant le référentiel INSEE en vigueur ;
MAILLE10X10;MAILLE10X10;Maille INPN 10*10;Cellule de la grille de référence nationale 10kmx10km dans laquelle se situe l’observation. ;
CODE_ME;CODE_ME;Code masse d'eau;Code de la ou les masse(s) d'eau à la (aux)quelle(s) l'observation a été rattachée;
THE_GEOM;GEOM;Géométrie;La géométrie de la localisation (au format WKT);
PRECISION_GEOMETRIE;PRECISION_GEOMETRIE;Précision de l'objet géographique;précision de la localisation;
NATURE_OBJET_GEO;NATURE_OBJET_GEO;Nature de l’objet géographique ;Nature de la localisation transmise ;
CODE_EN;CODE_EN;Code de l'espace naturel;Code de l’espace naturel sur lequel a été faite l’observation. ;
TYPE_EN;TYPE_EN;Type d'espace naturel;Indique le type d’espace naturel ou de zonage ;
OBSERVATEUR_IDENTITE;OBSERVATEUR_IDENTITE;Observateur;Nom de la personne qui a réalisé l'observation. Il est convenu que c'est la personne qui a effectué l'observation qui effectue la saisie;
OBSERVATEUR_ORGANISME;OBSERVATEUR_ORGANISME;Organisme observateur;Nom de l’organisme ou des organismes du ou des observateurs dans le cadre du/desquels ils ont réalisés l’observation. ;
